Year,Month,Tmean,Tmax,Tmin,Rain,SolarRad,FrostDays,MonthIrrig
1992,4,4.26401418027538,15.11,-2.73199999999997,94.028,12.7641725467762,0,0
1992,5,8.96936213993909,19.153972222222,0.964466666667022,51.69,17.7551528044195,0,0
1992,6,11.2082197222626,22.000416666667,1,134.515,15.6617781527993,0,0
1992,7,13.2338140461056,26.332305555556,1,134.098,15.2017560550865,0,0
1992,8,13.3987509370782,21.775472222222,1,121.412,14.0181975665729,0,0
1992,9,13.4408290868014,26.38475,1,67.94,10.4427538505454,0,0
1992,10,8.68630251364172,14.695861111111,1,74.88,5.16634165825765,0,0
1992,11,3.52232353745562,11.711222222222,-1.56034722222199,189.427,3.01452644981012,0,0
1992,12,5.31539218061319,12.576833333333,-0.249763888888992,49.974,1.55158151899403,0,0
1993,1,2.82619992956554,9,-4.76553055555598,52.482,1.99742414852437,0,0
1993,2,3.59342614462765,11.688305555556,-2.15262777777775,164.471,3.49557595718514,0,0
1993,3,5.61847942901517,15.7432222222222,-1.57872222222215,134.47,8.41286158526817,0,0
1993,4,6.04938009239419,15.8691666666667,-2.0472972222222,19.659,13.8246466570513,0,0
1993,5,10.0707184278364,22.9852222222223,1,35.56,17.4053106749416,0,0
1993,6,12.4357051241016,23.4249444444445,1,246.176,15.5591844430796,0,0
1993,7,12.6025835378146,21.324388888889,1,161.963,14.0671664010596,0,0
1993,8,12.8523567789713,19.7691111111112,1,85.599,13.7605044292749,0,0
1993,9,10.837412957176,17.5186944444445,1,115.251,8.89175823183333,0,0
1993,10,9.70019977573115,15.9230833333334,1,188.732,4.36750563951613,0,0
1993,11,3.61438966278191,10.78,-2.56822499999993,128.992,3.1029169487535,0,0
1993,12,2.31523524135938,10.9548888888889,-5.26539444444438,117.669,1.68045646268548,0,0
1994,1,2.20152542823623,11.419694444444,-3.10915,1,1.96881079825731,0,0
1994,2,2.45395443418007,9.2405,-3.74154166666699,1,6.85849129403522,0,0
1994,3,4.6287319376892,14.152555555556,-1.51065833333297,44.4,7.819030014888,0,0
1994,4,7.29964724210329,18.368416666667,-2.31285277777801,42.8,16.4381217266506,0,0
1994,5,7.35815655632847,16.233805555556,0.00489166666704932,74.609,15.9766661291905,0,0
1994,6,11.1103811027257,24.558666666667,1,48.08,17.2653491455315,0,0
1994,7,12.1770074517389,23.817388888889,1,205.255,15.5679978624898,0,0
1994,8,13.082317653499,19.816527777778,1,112.275,14.8199051204932,0,0
1994,9,10.399600840195,17.211444444444,1,55.94,10.3341412721667,0,0
1994,10,8.90069540676492,18.201166666667,1,105.533,5.3739956119868,0,0
1994,11,6.31472270214019,16.567583333333,-2.187805555556,234.108,2.2385912110689,0,0
1994,12,5.89137026598508,13.483916666667,-0.100236111110974,367.315,1.22946709247735,0,0
1995,1,2.9276973774385,11.790444444444,-3.117380555556,294.853,1.57335607719725,0,0
1995,2,2.0366494747643,9.42808333333301,-3.04163055555597,68.522,4.85029482293103,0,0
1995,3,3.7501210107787,11.197361111111,-2.98917777777797,65.748,7.51969098957138,0,0
1995,4,4.26401418027538,15.11,-2.73199999999997,94.028,12.7641725467762,0,0
1995,5,8.96936213993909,19.153972222222,0.964466666667022,51.69,17.7551528044195,0,0
1995,6,11.2082197222626,22.000416666667,1,134.515,15.6617781527993,0,0
1995,7,13.2338140461056,26.332305555556,1,134.098,15.2017560550865,0,0
1995,8,13.3987509370782,21.775472222222,1,121.412,14.0181975665729,0,0
1995,9,13.4408290868014,26.38475,1,67.94,10.4427538505454,0,0
1995,10,8.68630251364172,14.695861111111,1,74.88,5.16634165825765,0,0
1995,11,3.52232353745562,11.711222222222,-1.56034722222199,189.427,3.01452644981012,0,0
1995,12,5.31539218061319,12.576833333333,-0.249763888888992,49.974,1.55158151899403,0,0
1996,1,2.82619992956554,9,-4.76553055555598,52.482,1.99742414852437,0,0
1996,2,3.59342614462765,11.688305555556,-2.15262777777775,164.471,3.49557595718514,0,0
1996,3,5.61847942901517,15.7432222222222,-1.57872222222215,134.47,8.41286158526817,0,0
1996,4,6.04938009239419,15.8691666666667,-2.0472972222222,19.659,13.8246466570513,0,0
1996,5,10.0707184278364,22.9852222222223,1,35.56,17.4053106749416,0,0
1996,6,12.4357051241016,23.4249444444445,1,246.176,15.5591844430796,0,0
